,score_exp_1,score_exp_2,score_exp_3,score_exp_4,score_exp_5,score_exp_6,score_exp_7
execution_1_case_0_patient_8,0.7569801807403564,0.6514511108398438,0.5648938417434692,1.0181173086166382,0.7216159105300903,0.5835458040237427,0.7626282572746277
execution_2_case_0_patient_8,0.5747070908546448,0.47711682319641113,0.5414758920669556,0.5575371980667114,0.6734625101089478,0.7027002573013306,0.6817800402641296
execution_3_case_0_patient_8,0.6950329542160034,0.5434391498565674,0.5388772487640381,0.6148841381072998,0.7010110020637512,0.6859222054481506,0.8950323462486267
execution_4_case_0_patient_8,0.6849710941314697,0.5699027180671692,0.5772389769554138,0.672694981098175,0.6441330313682556,0.7044386863708496,0.72188800573349
execution_5_case_0_patient_8,0.6763467192649841,0.5893770456314087,0.7169997096061707,0.6970235705375671,0.5858854651451111,0.6998498439788818,0.7630927562713623
execution_6_case_0_patient_8,0.4894289970397949,0.5967311263084412,0.6291372776031494,0.6414334177970886,0.8495849370956421,0.7462224960327148,0.6571177244186401
execution_7_case_0_patient_8,0.7396227121353149,0.5512659549713135,0.5505144000053406,0.43619248270988464,0.7084946632385254,0.6562198400497437,0.8093410134315491
execution_8_case_0_patient_8,0.6297069191932678,0.6892209649085999,0.5062970519065857,0.5916187167167664,0.7754263877868652,0.6582481861114502,0.626743733882904
execution_9_case_0_patient_8,0.557167112827301,0.723946750164032,0.46396517753601074,0.6094700694084167,0.8548688888549805,0.6479744911193848,0.687760591506958
execution_10_case_0_patient_8,0.8168225288391113,0.5932254195213318,0.5941324830055237,0.689943790435791,0.7274999022483826,0.6796176433563232,0.8242939114570618
mean_10_case_0_patient_8,0.6620786309242248,0.5985677063465118,0.5683532059192657,0.6528915673494339,0.7241982698440552,0.6764739453792572,0.742967838048935
min_10_case_0_patient_8,0.4894289970397949,0.47711682319641113,0.46396517753601074,0.43619248270988464,0.5858854651451111,0.5835458040237427,0.626743733882904
max_10_case_0_patient_8,0.8168225288391113,0.723946750164032,0.7169997096061707,1.0181173086166382,0.8548688888549805,0.7462224960327148,0.8950323462486267
