Patient 001,score_patient_001_exp_6,score_patient_002_exp_6,score_patient_004_exp_6,score_patient_006_exp_6,score_patient_007_exp_6,score_patient_008_exp_6
execution_1_case_0_try_number_6,0.2165284901857376,0.3741849660873413,0.772823691368103,0.33384376764297485,0.7319521903991699,0.5835458040237427
execution_2_case_0_try_number_6,0.23462146520614624,0.3922313153743744,0.7912507057189941,0.3381429612636566,1.0647469758987427,0.7027002573013306
execution_3_case_0_try_number_6,0.23384051024913788,0.4155253767967224,0.7485397458076477,0.47254040837287903,0.6701280474662781,0.6859222054481506
execution_4_case_0_try_number_6,0.237696573138237,0.44094154238700867,0.7231218814849854,0.3753122389316559,0.6548939347267151,0.7044386863708496
execution_5_case_0_try_number_6,0.29336392879486084,0.3781982958316803,0.7841202616691589,0.5095617175102234,0.7152515053749084,0.6998498439788818
execution_6_case_0_try_number_6,0.31064486503601074,0.5480616092681885,0.7638323307037354,0.37988194823265076,1.0792495012283325,0.7462224960327148
execution_7_case_0_try_number_6,0.3022259771823883,0.40312260389328003,0.779316782951355,0.40661171078681946,0.7193451523780823,0.6562198400497437
execution_8_case_0_try_number_6,0.2655254304409027,0.40761780738830566,0.777089536190033,0.46950018405914307,0.836158275604248,0.6582481861114502
execution_9_case_0_try_number_6,0.28063079714775085,0.4725065231323242,0.847520649433136,0.5346884727478027,0.8544201850891113,0.6479744911193848
execution_10_case_0_try_number_6,0.24703961610794067,0.4145193099975586,0.7575323581695557,0.5097408294677734,0.8447181582450867,0.6796176433563232
